#hg38.knownCanonical.transcript	hg38.refGene.name	hg38.refGene.name2
ENST00000367772.8	NM_181093	SCYL3
ENST00000330597.4	NM_000559	HBG1
ENST00000397298.7	NM_021134,	MRPL23,
ENST00000397397.6	NM_003271	TSPAN4
ENST00000526766.1	n/a	n/a
ENST00000610738.5	NM_001271458	COLCA2
ENST00000409977.1	NM_001144871	VSTM5
ENST00000530835.1	n/a	n/a
ENST00000398290.7	NM_001146162	TRIM77
ENST00000328257.12	NM_016147	PPME1
ENST00000334805.10	NM_006645	STARD10
ENST00000525199.1	NM_001278713	ZNF705E
ENST00000534154.1	n/a	n/a
ENST00000301785.6	NM_001079559	HNRNPUL2
ENST00000532971.1	NM_001043229	CSKMT
ENST00000529108.5	NM_001354471	MS4A18
ENST00000398986.6	NM_001351235	MS4A4E
ENST00000398992.3	NR_130719,	OOSP1,
ENST00000399003.1	n/a	n/a
ENST00000527972.5	NM_001105565	SMTNL1
ENST00000529916.1	n/a	n/a
ENST00000532521.2	NR_024504	LOC646813
ENST00000617704.1	NM_001206631	TRIM64C
ENST00000621226.2	NM_001304359,	MUC5AC,
ENST00000357130.4	n/a	n/a
ENST00000400985.3	n/a	n/a
ENST00000405137.1	n/a	n/a
ENST00000404882.3	n/a	n/a
ENST00000526452.2	n/a	n/a
ENST00000328404.7	NM_001039496	CATSPERZ
ENST00000404439.2	n/a	n/a
ENST00000405210.1	n/a	n/a
ENST00000649162.1	n/a	n/a
ENST00000408104.1	n/a	n/a
ENST00000408303.1	NR_031630	MIR548L
ENST00000408346.1	NR_031602	MIR1237
ENST00000408406.1	NR_031624	MIR548K
ENST00000408647.1	n/a	n/a
ENST00000408659.1	NR_031663	MIR1261
ENST00000408776.1	NR_031683	MIR302E
ENST00000319760.8	NM_001005272	OR4A5
ENST00000327930.2	NM_001005188	OR6X1
ENST00000408930.6	NM_001037558	HEPN1
ENST00000335238.4	NM_001005270,	OR4C12,
ENST00000278829.6	NM_021727	FADS3
ENST00000624801.3	NM_001005161	OR52B4
ENST00000410135.1	n/a	n/a
ENST00000410230.1	n/a	n/a
ENST00000410293.1	n/a	n/a
ENST00000410317.1	n/a	n/a
ENST00000410365.1	n/a	n/a
ENST00000410396.1	n/a	n/a
ENST00000410453.1	n/a	n/a
ENST00000410495.1	n/a	n/a
ENST00000410545.1	n/a	n/a
ENST00000410597.1	n/a	n/a
ENST00000410629.1	n/a	n/a
ENST00000410646.1	n/a	n/a
ENST00000410731.1	n/a	n/a
ENST00000410842.1	n/a	n/a
ENST00000410912.1	n/a	n/a
ENST00000411066.1	n/a	n/a
ENST00000411081.1	n/a	n/a
ENST00000411083.1	n/a	n/a
ENST00000411148.1	n/a	n/a
ENST00000411270.1	n/a	n/a
ENST00000411291.1	n/a	n/a
ENST00000411333.1	n/a	n/a
ENST00000411337.1	n/a	n/a
ENST00000411383.1	n/a	n/a
ENST00000411392.1	n/a	n/a
ENST00000530311.6	NM_001105522,	TRIM49D2,
ENST00000643122.1	NM_000519	HBD
ENST00000417526.2	n/a	n/a
ENST00000531233.3	n/a	n/a
ENST00000412287.1	n/a	n/a
ENST00000529482.5	NR_024248	TSSC2
ENST00000528368.2	NM_001278431	C1QTNF5
ENST00000442124.1	n/a	n/a
ENST00000418080.1	n/a	n/a
ENST00000411807.2	NR_133006	OLFM5P
ENST00000447547.1	n/a	n/a
ENST00000530115.1	n/a	n/a
ENST00000418995.2	n/a	n/a
ENST00000531069.1	n/a	n/a
ENST00000446631.2	n/a	n/a
ENST00000481955.1	n/a	n/a
ENST00000424047.1	n/a	n/a
ENST00000416725.1	NR_126159	NTM-AS1
ENST00000534518.1	n/a	n/a
ENST00000415429.1	n/a	n/a
ENST00000641797.2	n/a	n/a
ENST00000417747.1	n/a	n/a
ENST00000447151.1	n/a	n/a
ENST00000525269.1	n/a	n/a
ENST00000641168.1	n/a	n/a
ENST00000532014.1	NR_028346,	TRIM53AP,
ENST00000540293.1	n/a	n/a
ENST00000533936.1	n/a	n/a
ENST00000530210.1	NM_001242853	DEFB131B
ENST00000418689.1	n/a	n/a
ENST00000452083.1	n/a	n/a
ENST00000526165.1	n/a	n/a
ENST00000641896.1	n/a	n/a
ENST00000419080.1	NR_024471	MRPL23-AS1
ENST00000532733.1	n/a	n/a
ENST00000414298.1	n/a	n/a
ENST00000429561.1	NR_046567	SHANK2-AS1
ENST00000439104.1	n/a	n/a
ENST00000413596.1	n/a	n/a
ENST00000473748.1	n/a	n/a
ENST00000447864.1	n/a	n/a
ENST00000419556.2	n/a	n/a
ENST00000436539.1	n/a	n/a
ENST00000435241.1	n/a	n/a
ENST00000450804.3	NR_126364	LINC01537
ENST00000533638.1	NR_034101	NCAM1-AS1
ENST00000527276.1	n/a	n/a
ENST00000446318.2	n/a	n/a
ENST00000428553.1	n/a	n/a
ENST00000533887.1	n/a	n/a
ENST00000445532.1	n/a	n/a
ENST00000641132.1	n/a	n/a
ENST00000423705.1	n/a	n/a
ENST00000426387.1	n/a	n/a
ENST00000424698.1	n/a	n/a
ENST00000648611.1	n/a	n/a
ENST00000542775.1	n/a	n/a
ENST00000453129.2	NM_001101389	CLDN25
ENST00000415809.1	n/a	n/a
ENST00000529541.1	n/a	n/a
ENST00000532736.1	n/a	n/a
ENST00000429046.1	n/a	n/a
ENST00000378149.7	NM_001079808	PGA4
ENST00000427511.1	n/a	n/a
ENST00000418789.3	n/a	n/a
ENST00000430222.1	n/a	n/a
ENST00000642028.1	n/a	n/a
ENST00000440887.2	NR_130721,	KCNQ1-AS1,
ENST00000446489.1	n/a	n/a
ENST00000441603.1	n/a	n/a
ENST00000455671.2	NR_120534	LINC01150
ENST00000413053.2	NR_133638	MIR194-2HG
ENST00000325558.10	NM_001079807	PGA3
ENST00000454892.2	NR_001589	HBBP1
ENST00000441772.1	n/a	n/a
ENST00000450768.1	n/a	n/a
ENST00000395193.2	n/a	n/a
ENST00000427973.1	n/a	n/a
ENST00000529436.1	n/a	n/a
ENST00000433035.1	n/a	n/a
ENST00000307165.4	n/a	n/a
ENST00000448870.1	n/a	n/a
ENST00000533003.1	n/a	n/a
ENST00000526704.6	NR_146389	LINC01001
ENST00000449749.1	n/a	n/a
ENST00000428947.1	n/a	n/a
ENST00000415407.1	n/a	n/a
ENST00000428428.1	n/a	n/a
ENST00000445859.1	n/a	n/a
ENST00000641744.1	n/a	n/a
ENST00000452418.1	n/a	n/a
ENST00000415865.1	n/a	n/a
ENST00000449694.2	n/a	n/a
ENST00000641518.1	n/a	n/a
ENST00000457725.1	n/a	n/a
ENST00000606885.1	n/a	n/a
ENST00000423806.2	n/a	n/a
ENST00000514950.1	NR_033791	DOC2GP
ENST00000450908.2	n/a	n/a
ENST00000530443.3	NM_001005169	OR52I1
ENST00000439752.1	n/a	n/a
ENST00000433858.3	n/a	n/a
ENST00000527904.1	n/a	n/a
ENST00000444862.1	n/a	n/a
ENST00000641232.1	n/a	n/a
ENST00000418612.2	NR_126400,	LINC01219,
ENST00000530583.1	NR_024233	LINC00167
ENST00000440929.1	n/a	n/a
ENST00000422652.5	NM_001145101	BTBD18
ENST00000526810.1	n/a	n/a
ENST00000456493.1	n/a	n/a
ENST00000438416.2	n/a	n/a
ENST00000479573.2	n/a	n/a
ENST00000452394.1	n/a	n/a
ENST00000435078.1	n/a	n/a
ENST00000531740.1	n/a	n/a
ENST00000623787.3	NM_001105522,	TRIM49D2,
ENST00000424148.1	NR_021489,	KRTAP5-AS1,
ENST00000533701.1	n/a	n/a
ENST00000438127.1	n/a	n/a
ENST00000411859.1	n/a	n/a
ENST00000641224.1	n/a	n/a
ENST00000413438.1	n/a	n/a
ENST00000439829.1	n/a	n/a
ENST00000449465.1	NM_001080446	C11orf94
ENST00000455154.1	n/a	n/a
ENST00000403734.2	NR_037946	HNRNPUL2-BSCL2
ENST00000446117.1	n/a	n/a
ENST00000524732.2	n/a	n/a
ENST00000449248.1	n/a	n/a
ENST00000450979.2	NM_001161630	KDM4E
ENST00000425960.1	n/a	n/a
ENST00000531091.5	NR_034079	CASP17P
ENST00000455818.3	n/a	n/a
ENST00000533531.1	NR_131246	MIR670HG
ENST00000534535.1	n/a	n/a
ENST00000619721.5	NM_015645	C1QTNF5
ENST00000524910.1	n/a	n/a
ENST00000444200.1	NR_126362	APOA1-AS
ENST00000445202.1	NM_001129883	PATE3
ENST00000448769.1	n/a	n/a
ENST00000441665.1	n/a	n/a
ENST00000532644.1	n/a	n/a
ENST00000445629.1	n/a	n/a
ENST00000429268.1	n/a	n/a
ENST00000602923.2	n/a	n/a
ENST00000457746.1	n/a	n/a
ENST00000533925.5	NM_001143667	ZBED5
ENST00000420873.2	NR_027138	MRGPRG-AS1
ENST00000447519.1	n/a	n/a
ENST00000449892.1	n/a	n/a
ENST00000452629.1	n/a	n/a
ENST00000431428.1	n/a	n/a
ENST00000534760.1	n/a	n/a
ENST00000532665.1	n/a	n/a
ENST00000431546.1	n/a	n/a
ENST00000428160.1	n/a	n/a
ENST00000529200.1	n/a	n/a
ENST00000447028.1	n/a	n/a
ENST00000413417.1	n/a	n/a
ENST00000375024.1	NM_001001953	OR10G9
ENST00000449019.2	n/a	n/a
ENST00000426436.1	n/a	n/a
ENST00000435309.2	n/a	n/a
ENST00000457514.2	NM_001144874	PATE4
ENST00000427016.1	n/a	n/a
ENST00000446065.1	n/a	n/a
ENST00000446524.1	NM_001005512	OR4A47
ENST00000453501.1	n/a	n/a
ENST00000433606.1	n/a	n/a
ENST00000330155.3	n/a	n/a
ENST00000441638.1	n/a	n/a
ENST00000414466.5	NR_110140	LOC101929653
ENST00000524374.1	NR_146921,	TRIM51EP,
ENST00000444123.5	NR_135069	LINC02702
ENST00000441418.2	NR_024627,	KCNQ1DN,
ENST00000530434.1	n/a	n/a
ENST00000415521.1	n/a	n/a
ENST00000419440.1	n/a	n/a
ENST00000449387.1	n/a	n/a
ENST00000422682.1	n/a	n/a
ENST00000413483.1	NR_108080	CD81-AS1
ENST00000421651.1	NR_046820	NTM-IT
ENST00000459175.1	n/a	n/a
ENST00000458785.1	n/a	n/a
ENST00000458841.1	n/a	n/a
ENST00000459284.1	n/a	n/a
ENST00000459187.1	NR_004403	SNORD97
ENST00000459372.1	n/a	n/a
ENST00000459101.1	n/a	n/a
ENST00000459480.1	n/a	n/a
ENST00000458985.1	n/a	n/a
ENST00000458998.1	n/a	n/a
ENST00000459465.1	n/a	n/a
ENST00000458951.1	n/a	n/a
ENST00000459342.1	NR_003033	SNORD5
ENST00000310137.4	NM_006328	RBM14
ENST00000475609.1	n/a	n/a
ENST00000491364.3	n/a	n/a
ENST00000425243.1	n/a	n/a
ENST00000472300.1	n/a	n/a
ENST00000462701.1	n/a	n/a
ENST00000473849.3	n/a	n/a
ENST00000472498.2	n/a	n/a
ENST00000478870.1	n/a	n/a
ENST00000471754.3	n/a	n/a
ENST00000464648.3	n/a	n/a
ENST00000463339.1	n/a	n/a
ENST00000380259.7	NM_000184	HBG2
ENST00000498718.1	n/a	n/a
ENST00000476147.2	n/a	n/a
ENST00000469306.3	n/a	n/a
ENST00000492051.1	n/a	n/a
ENST00000472460.1	n/a	n/a
ENST00000470401.3	n/a	n/a
ENST00000473882.1	n/a	n/a
ENST00000483219.1	n/a	n/a
ENST00000489592.1	n/a	n/a
ENST00000481845.1	n/a	n/a
ENST00000498657.1	n/a	n/a
ENST00000474540.1	n/a	n/a
ENST00000492327.1	n/a	n/a
ENST00000430034.1	n/a	n/a
ENST00000477436.1	n/a	n/a
ENST00000484055.3	n/a	n/a
ENST00000474589.1	n/a	n/a
ENST00000469465.1	NR_003040,	RPL23AP64,
ENST00000486306.1	n/a	n/a
ENST00000480271.1	n/a	n/a
ENST00000463987.1	n/a	n/a
ENST00000478499.3	n/a	n/a
ENST00000461163.2	n/a	n/a
ENST00000649255.1	n/a	n/a
ENST00000478433.1	n/a	n/a
ENST00000398534.3	NM_021046	KRTAP5-8
ENST00000473603.1	n/a	n/a
ENST00000435756.2	n/a	n/a
ENST00000399682.1	NM_001347674,	KRTAP5-4,
ENST00000464563.1	n/a	n/a
ENST00000495378.1	n/a	n/a
ENST00000469842.2	n/a	n/a
ENST00000486188.1	n/a	n/a
ENST00000476452.3	n/a	n/a
ENST00000482972.1	n/a	n/a
ENST00000497708.2	n/a	n/a
ENST00000474462.1	n/a	n/a
ENST00000488389.1	n/a	n/a
ENST00000496450.1	n/a	n/a
ENST00000498381.3	n/a	n/a
ENST00000361987.5	NM_000614	CNTF
ENST00000489849.1	n/a	n/a
ENST00000463604.1	n/a	n/a
ENST00000476420.1	n/a	n/a
ENST00000472927.1	n/a	n/a
ENST00000490061.3	n/a	n/a
ENST00000479691.1	n/a	n/a
ENST00000479709.1	n/a	n/a
ENST00000465511.1	n/a	n/a
ENST00000485204.3	n/a	n/a
ENST00000481676.3	n/a	n/a
ENST00000476981.3	n/a	n/a
ENST00000469983.2	n/a	n/a
ENST00000480160.1	n/a	n/a
ENST00000498752.1	n/a	n/a
ENST00000496593.5	NR_002775	RPLP0P2
ENST00000463969.1	n/a	n/a
ENST00000473109.2	n/a	n/a
ENST00000471647.1	n/a	n/a
ENST00000475608.1	n/a	n/a
ENST00000464109.1	n/a	n/a
ENST00000491725.1	n/a	n/a
ENST00000340134.4	NM_001170820,	IFITM10,
ENST00000471604.2	n/a	n/a
ENST00000475768.1	n/a	n/a
ENST00000468193.1	n/a	n/a
ENST00000467930.1	n/a	n/a
ENST00000459748.1	n/a	n/a
ENST00000461747.2	n/a	n/a
ENST00000398536.5	NM_001012503	KRTAP5-7
ENST00000487566.1	n/a	n/a
ENST00000466686.1	n/a	n/a
ENST00000497201.2	n/a	n/a
ENST00000647020.1	NM_000518	HBB
ENST00000499194.5	NR_038907	ALKBH3-AS1
ENST00000501541.1	n/a	n/a
ENST00000501648.2	NR_135072	LOC101929538
ENST00000500163.2	NR_146780	ARAP1-AS2
ENST00000501708.1	n/a	n/a
ENST00000500970.5	NR_034160	USP2-AS1
ENST00000501918.2	n/a	n/a
ENST00000499143.6	NR_103862	LOC100507283
ENST00000500698.1	NR_033972	LINC02709
ENST00000616315.2	n/a	n/a
ENST00000501356.5	NR_110303	LOC101929295
ENST00000501817.6	NR_110184	FAM111A-DT
ENST00000499568.2	NR_033312	BDNF-AS
ENST00000500502.5	NR_120571	MIR4300HG
ENST00000498872.2	n/a	n/a
ENST00000526795.1	NR_038903	RAB30-DT
ENST00000499809.1	NR_034148	LINC00900
ENST00000523626.6	NR_102281	KCTD21-AS1
ENST00000502071.2	NR_120556	P4HA3-AS1
ENST00000499625.1	n/a	n/a
ENST00000530450.1	n/a	n/a
ENST00000650092.1	NR_036485	SBF2-AS1
ENST00000499765.1	NR_120540	LOC101928053
ENST00000499504.7	NR_038905	FZD4-DT
ENST00000501964.1	n/a	n/a
ENST00000499752.2	n/a	n/a
ENST00000500185.2	n/a	n/a
ENST00000500447.1	NR_038262,	MIR210HG,
ENST00000500634.2	NR_149010	LOC100506282
ENST00000500025.2	NR_034027	CSTF3-DT
ENST00000501079.5	NR_034137	ZBED5-AS1
ENST00000500537.2	NR_120563	LOC101928847
ENST00000499962.1	NR_046580,	CARS-AS1,
ENST00000634992.1	NM_001355570	SPTY2D1OS
ENST00000502049.2	NR_038909	LRP4-AS1
ENST00000499390.2	NR_046090	LOC283214
ENST00000501397.1	NR_133571	LOC100128386
ENST00000506601.1	NR_120537	TUB-AS1
ENST00000510214.1	n/a	n/a
ENST00000514607.1	n/a	n/a
ENST00000412278.2	NM_001198845	RBM14-RBM4
ENST00000508969.2	NR_073387	ALG1L9P
ENST00000415318.2	NM_001145018	CCDC153
ENST00000513398.1	NR_047663	ACTN3
ENST00000511013.2	NR_120529	LINC02753
ENST00000511464.1	n/a	n/a
ENST00000505409.1	n/a	n/a
ENST00000509204.1	n/a	n/a
ENST00000503887.1	n/a	n/a
ENST00000502328.1	n/a	n/a
ENST00000515281.1	n/a	n/a
ENST00000515557.1	n/a	n/a
ENST00000513853.5	n/a	n/a
ENST00000505076.1	n/a	n/a
ENST00000503469.2	n/a	n/a
ENST00000504932.2	NR_120577	LOC101929340
ENST00000504911.1	n/a	n/a
ENST00000506329.2	NR_110189	LOC101927495
ENST00000513668.1	n/a	n/a
ENST00000504610.2	NR_126004	LINC02762
ENST00000511947.2	n/a	n/a
ENST00000506172.2	n/a	n/a
ENST00000505153.2	NR_132790	LOC101929227
ENST00000512200.1	n/a	n/a
ENST00000506309.6	n/a	n/a
ENST00000515189.2	n/a	n/a
ENST00000636397.1	NM_001909	CTSD
ENST00000544108.1	n/a	n/a
ENST00000504906.1	n/a	n/a
ENST00000507987.2	n/a	n/a
ENST00000502284.1	NR_104178	LOC100128494
ENST00000510619.2	n/a	n/a
ENST00000513405.1	NR_147836	LINC02714
ENST00000513207.2	NR_120564	LINC02728
ENST00000622955.3	NR_103855	LOC100506258
ENST00000527945.2	NR_038904	LINC00958
ENST00000533565.1	NR_033868	HNRNPKP3
ENST00000619449.2	NR_144567	MALAT1
ENST00000529069.5	n/a	n/a
ENST00000602429.1	n/a	n/a
ENST00000516029.1	n/a	n/a
ENST00000516053.2	NR_039836	MIR1343
ENST00000516110.1	n/a	n/a
ENST00000516125.1	n/a	n/a
ENST00000516182.1	n/a	n/a
ENST00000516224.1	n/a	n/a
ENST00000516261.1	n/a	n/a
ENST00000516272.1	n/a	n/a
ENST00000516310.1	n/a	n/a
ENST00000516446.1	n/a	n/a
ENST00000516520.1	n/a	n/a
ENST00000516542.1	n/a	n/a
ENST00000516546.1	n/a	n/a
ENST00000516552.1	n/a	n/a
ENST00000516618.1	n/a	n/a
ENST00000516685.1	n/a	n/a
ENST00000516710.1	n/a	n/a
ENST00000516747.1	n/a	n/a
ENST00000516759.1	n/a	n/a
ENST00000516843.1	n/a	n/a
ENST00000516960.1	n/a	n/a
ENST00000516967.1	n/a	n/a
ENST00000516969.1	n/a	n/a
ENST00000517007.1	n/a	n/a
ENST00000517061.1	n/a	n/a
ENST00000517065.2	n/a	n/a
ENST00000517093.1	n/a	n/a
ENST00000517096.1	n/a	n/a
ENST00000517113.1	n/a	n/a
ENST00000517132.1	n/a	n/a
ENST00000517183.1	n/a	n/a
ENST00000517215.1	n/a	n/a
ENST00000517226.1	n/a	n/a
ENST00000517263.1	n/a	n/a
ENST00000517290.1	n/a	n/a
ENST00000522108.1	n/a	n/a
ENST00000522384.2	n/a	n/a
ENST00000472881.2	n/a	n/a
ENST00000519787.1	n/a	n/a
ENST00000531592.1	n/a	n/a
ENST00000531111.1	n/a	n/a
ENST00000529326.2	n/a	n/a
ENST00000527191.1	n/a	n/a
ENST00000525758.1	n/a	n/a
ENST00000528485.1	n/a	n/a
ENST00000529875.1	n/a	n/a
ENST00000527539.1	n/a	n/a
ENST00000528576.1	n/a	n/a
ENST00000532342.1	n/a	n/a
ENST00000526408.1	n/a	n/a
ENST00000525853.1	n/a	n/a
ENST00000525324.1	n/a	n/a
ENST00000526605.5	NR_135100	LINC02732
ENST00000531347.1	NR_103835	LINC02584
ENST00000534587.1	n/a	n/a
ENST00000534168.1	n/a	n/a
ENST00000526310.1	n/a	n/a
ENST00000529409.1	n/a	n/a
ENST00000524410.1	NR_120558	LINC02696
ENST00000531087.1	n/a	n/a
ENST00000529215.1	n/a	n/a
ENST00000531567.1	n/a	n/a
ENST00000527594.1	n/a	n/a
ENST00000532605.1	n/a	n/a
ENST00000529682.1	n/a	n/a
ENST00000531124.1	n/a	n/a
ENST00000532065.1	NR_135052	LINC02683
ENST00000527936.1	n/a	n/a
ENST00000525536.1	n/a	n/a
ENST00000532430.1	n/a	n/a
ENST00000529961.1	n/a	n/a
ENST00000527616.1	NM_001541	HSPB2
ENST00000642027.2	n/a	n/a
ENST00000528675.1	n/a	n/a
ENST00000531305.1	n/a	n/a
ENST00000528650.1	n/a	n/a
ENST00000533767.1	NR_046672	NAV2-AS2
ENST00000526625.2	n/a	n/a
ENST00000527837.1	n/a	n/a
ENST00000533049.5	n/a	n/a
ENST00000524390.3	n/a	n/a
ENST00000534065.1	n/a	n/a
ENST00000525594.1	n/a	n/a
ENST00000533740.1	n/a	n/a
ENST00000533576.1	n/a	n/a
ENST00000528395.1	NR_037646	TMX2-CTNND1
ENST00000529659.1	n/a	n/a
ENST00000532193.1	n/a	n/a
ENST00000528321.1	n/a	n/a
ENST00000530162.2	n/a	n/a
ENST00000532961.1	n/a	n/a
ENST00000622626.1	n/a	n/a
ENST00000529844.5	NR_029192	LOC100133315
ENST00000532090.2	NM_138368	AP5B1
ENST00000528393.1	n/a	n/a
ENST00000527050.1	n/a	n/a
ENST00000525935.1	n/a	n/a
ENST00000648249.1	n/a	n/a
ENST00000532177.1	n/a	n/a
ENST00000528351.1	n/a	n/a
ENST00000525365.1	NR_047550	LINC02749
ENST00000534330.1	n/a	n/a
ENST00000525638.1	n/a	n/a
ENST00000531426.1	n/a	n/a
ENST00000531559.1	NR_135109	LINC02547
ENST00000532682.2	n/a	n/a
ENST00000531002.1	n/a	n/a
ENST00000526140.1	n/a	n/a
ENST00000324630.5	n/a	n/a
ENST00000532412.1	n/a	n/a
ENST00000531663.1	n/a	n/a
ENST00000524806.1	n/a	n/a
ENST00000530970.1	n/a	n/a
ENST00000528887.1	n/a	n/a
ENST00000530657.1	n/a	n/a
ENST00000527374.1	n/a	n/a
ENST00000533046.5	NR_120550	FBXO3-DT
ENST00000534607.1	n/a	n/a
ENST00000533759.1	n/a	n/a
ENST00000526154.1	n/a	n/a
ENST00000532859.1	n/a	n/a
ENST00000525926.1	n/a	n/a
ENST00000529628.1	n/a	n/a
ENST00000532562.1	NR_135110	LINC02760
ENST00000528030.1	n/a	n/a
ENST00000529219.1	n/a	n/a
ENST00000634777.1	NR_047569	LOC100507384
ENST00000530976.1	n/a	n/a
ENST00000526965.1	n/a	n/a
ENST00000530960.1	n/a	n/a
ENST00000534150.5	n/a	n/a
ENST00000524957.1	n/a	n/a
ENST00000525097.1	n/a	n/a
ENST00000527819.1	n/a	n/a
ENST00000530032.1	n/a	n/a
ENST00000532231.1	n/a	n/a
ENST00000534543.1	n/a	n/a
ENST00000527164.1	n/a	n/a
ENST00000534036.1	n/a	n/a
ENST00000532690.1	n/a	n/a
ENST00000529793.1	n/a	n/a
ENST00000533973.1	n/a	n/a
ENST00000529803.1	NM_006189	OMP
ENST00000531869.1	n/a	n/a
ENST00000526906.1	n/a	n/a
ENST00000524605.1	n/a	n/a
ENST00000529293.1	n/a	n/a
ENST00000526963.1	n/a	n/a
ENST00000530430.1	NR_125766	BBOX1-AS1
ENST00000532153.1	n/a	n/a
ENST00000649890.1	NR_120553	LINC01493
ENST00000526741.1	n/a	n/a
ENST00000528178.1	n/a	n/a
ENST00000528255.1	n/a	n/a
ENST00000529910.1	n/a	n/a
ENST00000534504.2	n/a	n/a
ENST00000524453.1	n/a	n/a
ENST00000531656.1	n/a	n/a
ENST00000526011.2	n/a	n/a
ENST00000532652.1	n/a	n/a
ENST00000641065.1	n/a	n/a
ENST00000394183.2	n/a	n/a
ENST00000526618.1	n/a	n/a
ENST00000524966.1	NR_135099	LINC02719
ENST00000526365.1	n/a	n/a
ENST00000526860.1	n/a	n/a
ENST00000531962.1	NR_120526	LOC100506675
ENST00000524885.1	n/a	n/a
ENST00000527528.1	n/a	n/a
ENST00000525706.1	NR_120581	ETS1-AS1
ENST00000525903.1	n/a	n/a
ENST00000533726.1	n/a	n/a
ENST00000529936.1	n/a	n/a
ENST00000526922.1	n/a	n/a
ENST00000526217.1	n/a	n/a
ENST00000527283.5	n/a	n/a
ENST00000524809.1	n/a	n/a
ENST00000528671.1	n/a	n/a
ENST00000528848.2	NM_001256686	CSNK2A3
ENST00000532109.1	n/a	n/a
ENST00000534107.1	n/a	n/a
ENST00000530595.1	n/a	n/a
ENST00000530227.1	n/a	n/a
ENST00000528607.1	n/a	n/a
ENST00000528507.1	n/a	n/a
ENST00000524707.1	n/a	n/a
ENST00000534620.1	NR_120533	LOC101929427
ENST00000527543.2	n/a	n/a
ENST00000526843.2	n/a	n/a
ENST00000641780.1	n/a	n/a
ENST00000526623.2	NR_145677	LOC728975
ENST00000532608.1	n/a	n/a
ENST00000525489.1	n/a	n/a
ENST00000527270.1	n/a	n/a
ENST00000531054.1	n/a	n/a
ENST00000532874.1	NR_033989	NAV2-AS4
ENST00000525084.1	n/a	n/a
ENST00000524772.1	n/a	n/a
ENST00000533832.1	n/a	n/a
ENST00000528055.1	n/a	n/a
ENST00000530435.1	n/a	n/a
ENST00000533008.1	n/a	n/a
ENST00000533437.1	n/a	n/a
ENST00000529103.1	n/a	n/a
ENST00000527589.1	n/a	n/a
ENST00000530049.1	n/a	n/a
ENST00000527398.1	n/a	n/a
ENST00000527162.1	n/a	n/a
ENST00000524613.1	n/a	n/a
ENST00000529692.1	n/a	n/a
ENST00000381330.4	NM_000207	INS
ENST00000526377.1	n/a	n/a
ENST00000527030.1	n/a	n/a
ENST00000528913.1	n/a	n/a
ENST00000534604.1	n/a	n/a
ENST00000528480.1	n/a	n/a
ENST00000525114.1	NR_026681	LINC02685
ENST00000524456.1	n/a	n/a
ENST00000641465.1	n/a	n/a
ENST00000534252.2	n/a	n/a
ENST00000532561.1	n/a	n/a
ENST00000530418.1	n/a	n/a
ENST00000534162.1	n/a	n/a
ENST00000529557.1	n/a	n/a
ENST00000527450.1	n/a	n/a
ENST00000529883.1	n/a	n/a
ENST00000531247.1	n/a	n/a
ENST00000527684.1	n/a	n/a
ENST00000533002.1	n/a	n/a
ENST00000529830.1	n/a	n/a
ENST00000531397.1	n/a	n/a
ENST00000526730.1	n/a	n/a
ENST00000528133.1	n/a	n/a
ENST00000526582.1	n/a	n/a
ENST00000525475.1	n/a	n/a
ENST00000527288.1	n/a	n/a
ENST00000529369.1	n/a	n/a
ENST00000528836.1	n/a	n/a
ENST00000525573.2	n/a	n/a
ENST00000526953.1	n/a	n/a
ENST00000527012.1	n/a	n/a
ENST00000533814.1	n/a	n/a
ENST00000532866.1	n/a	n/a
ENST00000532242.1	NM_001293172	LOC102724957
ENST00000526024.1	n/a	n/a
ENST00000527550.1	n/a	n/a
ENST00000530126.1	n/a	n/a
ENST00000528257.1	n/a	n/a
ENST00000526269.2	NR_038908	SENCR
ENST00000532980.3	n/a	n/a
ENST00000531176.1	n/a	n/a
ENST00000527443.1	n/a	n/a
ENST00000531489.1	n/a	n/a
ENST00000531681.1	n/a	n/a
ENST00000530632.1	n/a	n/a
ENST00000529511.2	n/a	n/a
ENST00000534129.1	n/a	n/a
ENST00000529451.1	n/a	n/a
ENST00000532615.1	n/a	n/a
ENST00000527463.1	n/a	n/a
ENST00000526174.1	n/a	n/a
ENST00000528813.1	n/a	n/a
ENST00000530847.1	n/a	n/a
ENST00000532030.1	n/a	n/a
ENST00000531034.1	n/a	n/a
ENST00000530465.1	n/a	n/a
ENST00000533503.1	n/a	n/a
ENST00000526206.1	n/a	n/a
ENST00000531074.1	NM_001085462	CTNND1
ENST00000524610.1	n/a	n/a
ENST00000530249.1	n/a	n/a
ENST00000532126.1	n/a	n/a
ENST00000529855.1	n/a	n/a
ENST00000641722.1	n/a	n/a
ENST00000531736.1	n/a	n/a
ENST00000526431.1	n/a	n/a
ENST00000530918.2	n/a	n/a
ENST00000525712.1	n/a	n/a
ENST00000533315.5	n/a	n/a
ENST00000526864.1	n/a	n/a
ENST00000528764.1	n/a	n/a
ENST00000532527.1	n/a	n/a
ENST00000526830.1	NR_131905	CASP1P2
ENST00000649296.1	n/a	n/a
ENST00000641241.1	n/a	n/a
ENST00000531157.1	n/a	n/a
ENST00000527320.1	n/a	n/a
ENST00000526655.1	n/a	n/a
ENST00000534291.1	n/a	n/a
ENST00000530968.1	n/a	n/a
ENST00000524793.1	n/a	n/a
